PassengerId,Survived,Pclass,Sex,CabinAssigned,NameLength,FamilySize,IsAlone,FamilySize_Group,AgeGroup,FareBand,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Official,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
1,0.0,3,0,0,23,2,0,1,3,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
2,1.0,1,1,1,51,2,0,1,4,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
3,1.0,3,1,0,22,1,1,0,3,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
4,1.0,1,1,1,44,2,0,1,4,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
5,0.0,3,0,0,24,1,1,0,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
6,0.0,3,0,0,16,1,1,0,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
7,0.0,1,0,1,23,1,1,0,4,3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
8,0.0,3,0,0,30,5,0,2,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
9,1.0,3,1,0,49,3,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
10,1.0,2,1,0,35,2,0,1,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11,1.0,3,1,1,31,3,0,1,1,2,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
12,1.0,1,1,1,24,1,1,0,4,2,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
13,0.0,3,0,0,30,1,1,0,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
14,0.0,3,0,0,27,7,0,2,4,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
15,0.0,3,1,0,36,1,1,0,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
16,1.0,2,1,0,32,1,1,0,4,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
17,0.0,3,0,0,20,6,0,2,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,1.0,2,0,0,28,1,1,0,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
19,0.0,3,1,0,55,2,0,1,3,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
20,1.0,3,1,0,23,1,1,0,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21,0.0,2,0,0,20,1,1,0,4,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
22,1.0,2,0,1,21,1,1,0,3,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,1.0,3,1,0,27,1,1,0,2,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
